"编号","性质","办园类型","办园等级","幼儿园","片区","园区/分园","地址","高德POI名称","高德POI地址","高德经纬度","距西岸网易研发中心","高德搜索链接","联系电话","托班计划","小班计划","对口居委/招生范围","招生类型","置信度","备注","主要来源"
"5","公办","公办","二级","汇家幼儿园","徐家汇/虹桥路","北园","番禺路800弄24号","上海市徐汇区汇家幼儿园(北园)","番禺路800弄24号","121.427837,31.197598","高德直线约 5.46 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%BE%90%E6%B1%87%E5%8C%BA%20%E6%B1%87%E5%AE%B6%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E5%8C%97%E5%9B%AD%20%E7%95%AA%E7%A6%BA%E8%B7%AF800%E5%BC%8424%E5%8F%B7","62837361","1","3","番禺、南丹、柿子湾、潘家宅、陈家宅、虹二、虹交、西塘、东塘","固定对口","A","","上海本地宝《2026徐汇区幼儿园招生对口地段及招生计划班级数》，2026-04-15：https://m.sh.bendibao.com/edu/305291.html；上海本地宝《上海市徐汇区公办幼儿园名单一览》，内容来源标注为上海学前教育网，2024-03-25：https://m.sh.bendibao.com/edu/284155.html"
"5","公办","公办","二级","汇家幼儿园","徐家汇/虹桥路","南园","番禺路1188号","上海市徐汇区汇家幼儿园(南园)","番禺路1188号(宜山路地铁站5号口步行460米)","121.425446,31.191704","高德直线约 5.07 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%BE%90%E6%B1%87%E5%8C%BA%20%E6%B1%87%E5%AE%B6%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E5%8D%97%E5%9B%AD%20%E7%95%AA%E7%A6%BA%E8%B7%AF1188%E5%8F%B7","64860098","1","3","番禺、南丹、柿子湾、潘家宅、陈家宅、虹二、虹交、西塘、东塘","固定对口","A","","上海本地宝《2026徐汇区幼儿园招生对口地段及招生计划班级数》，2026-04-15：https://m.sh.bendibao.com/edu/305291.html；上海本地宝《上海市徐汇区公办幼儿园名单一览》，内容来源标注为上海学前教育网，2024-03-25：https://m.sh.bendibao.com/edu/284155.html"
"6","公办","公办","二级","枫林幼儿园","枫林/斜土","本部","小木桥路440弄30号","上海市徐汇区枫林幼儿园","小木桥路440弄30号","121.458998,31.194273","高德直线约 4.22 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%BE%90%E6%B1%87%E5%8C%BA%20%E6%9E%AB%E6%9E%97%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E6%9C%AC%E9%83%A8%20%E5%B0%8F%E6%9C%A8%E6%A1%A5%E8%B7%AF440%E5%BC%8430%E5%8F%B7","64035845","1","2","日新、日二、日五、日六第一、日六第二、大三、大四、康巨、茶陵、景泰、恒益、西木南、西木北、江南","固定对口","A","","上海本地宝《2026徐汇区幼儿园招生对口地段及招生计划班级数》，2026-04-15：https://m.sh.bendibao.com/edu/305291.html；上海本地宝《上海市徐汇区公办幼儿园名单一览》，内容来源标注为上海学前教育网，2024-03-25：https://m.sh.bendibao.com/edu/284155.html"
"7","公办","公办","二级","复旦大学附属徐汇实验幼儿园","枫林/斜土","托小班部","平江路17号","复旦大学附属徐汇实验幼儿园(中大班部)","平江路32号","121.456478,31.200659","高德直线约 4.94 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%BE%90%E6%B1%87%E5%8C%BA%20%E5%A4%8D%E6%97%A6%E5%A4%A7%E5%AD%A6%E9%99%84%E5%B1%9E%E5%BE%90%E6%B1%87%E5%AE%9E%E9%AA%8C%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E6%89%98%E5%B0%8F%E7%8F%AD%E9%83%A8%20%E5%B9%B3%E6%B1%9F%E8%B7%AF17%E5%8F%B7","64034223","1","4","平江、肇一、上影、日七、大五、医清、四季园、肇清、医学院","固定对口","B","2024年7月由原平江路幼儿园与原复旦大学医学院幼儿园合并组建；2025/公开资料显示新小班启用平江路32号，需确认2026实际安排。","上海本地宝《2026徐汇区幼儿园招生对口地段及招生计划班级数》，2026-04-15：https://m.sh.bendibao.com/edu/305291.html；复旦附属徐汇实验幼儿园公开资料/上哪学/021school；上海本地宝《上海市徐汇区公办幼儿园名单一览》，内容来源标注为上海学前教育网，2024-03-25：https://m.sh.bendibao.com/edu/284155.html"
"7","公办","公办","二级","复旦大学附属徐汇实验幼儿园","枫林/斜土","中大班部/新小班候选","平江路32号","复旦大学附属徐汇实验幼儿园(中大班部)","平江路32号","121.456478,31.200659","高德直线约 4.94 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%BE%90%E6%B1%87%E5%8C%BA%20%E5%A4%8D%E6%97%A6%E5%A4%A7%E5%AD%A6%E9%99%84%E5%B1%9E%E5%BE%90%E6%B1%87%E5%AE%9E%E9%AA%8C%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%AD%E5%A4%A7%E7%8F%AD%E9%83%A8%2F%E6%96%B0%E5%B0%8F%E7%8F%AD%E5%80%99%E9%80%89%20%E5%B9%B3%E6%B1%9F%E8%B7%AF32%E5%8F%B7","64034223","1","4","平江、肇一、上影、日七、大五、医清、四季园、肇清、医学院","固定对口","B","公开资料显示办学地址为平江路32号、17号；原复旦医学院幼儿园东安路50弄10号为历史/合并相关地址。","上海本地宝《2026徐汇区幼儿园招生对口地段及招生计划班级数》，2026-04-15：https://m.sh.bendibao.com/edu/305291.html；复旦附属徐汇实验幼儿园公开资料/上哪学/021school；上海本地宝《上海市徐汇区公办幼儿园名单一览》，内容来源标注为上海学前教育网，2024-03-25：https://m.sh.bendibao.com/edu/284155.html"
"8","公办","公办","二级","东安一村幼儿园","枫林/斜土","零陵园","零陵路250弄33号","上海市徐汇区东安一村幼儿园(零陵园)","零陵路250弄33号(大木桥路地铁站3号口步行470米)","121.460111,31.191485","高德直线约 3.91 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%BE%90%E6%B1%87%E5%8C%BA%20%E4%B8%9C%E5%AE%89%E4%B8%80%E6%9D%91%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E9%9B%B6%E9%99%B5%E5%9B%AD%20%E9%9B%B6%E9%99%B5%E8%B7%AF250%E5%BC%8433%E5%8F%B7","64041758","1","2","东安一村北、东安一村南、安康、振兴、张东、爱华、汇园、东安二村、沈家里、东安四村、谨斜、东安苑、枫林新村、南康","固定对口","A","","上海本地宝《2026徐汇区幼儿园招生对口地段及招生计划班级数》，2026-04-15：https://m.sh.bendibao.com/edu/305291.html；上海本地宝《上海市徐汇区公办幼儿园名单一览》，内容来源标注为上海学前教育网，2024-03-25：https://m.sh.bendibao.com/edu/284155.html"
"8","公办","公办","二级","东安一村幼儿园","枫林/斜土","东安园","东安一村39号","上海市徐汇区东安一村幼儿园(零陵园)","零陵路250弄33号(大木桥路地铁站3号口步行470米)","121.460111,31.191485","高德直线约 3.91 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%BE%90%E6%B1%87%E5%8C%BA%20%E4%B8%9C%E5%AE%89%E4%B8%80%E6%9D%91%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%9C%E5%AE%89%E5%9B%AD%20%E4%B8%9C%E5%AE%89%E4%B8%80%E6%9D%9139%E5%8F%B7","64175625","1","2","东安一村北、东安一村南、安康、振兴、张东、爱华、汇园、东安二村、沈家里、东安四村、谨斜、东安苑、枫林新村、南康","固定对口","A","公办名单列出东安一村39号及零陵路250弄33号。","上海本地宝《2026徐汇区幼儿园招生对口地段及招生计划班级数》，2026-04-15：https://m.sh.bendibao.com/edu/305291.html；上海本地宝《上海市徐汇区公办幼儿园名单一览》，内容来源标注为上海学前教育网，2024-03-25：https://m.sh.bendibao.com/edu/284155.html"
"9","公办","公办","一级","龙山幼儿园","枫林/宛南","一分园","宛南四村16号","上海市徐汇区龙山幼儿园一分园","宛南四村16号","121.450444,31.181580","高德直线约 2.92 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%BE%90%E6%B1%87%E5%8C%BA%20%E9%BE%99%E5%B1%B1%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%80%E5%88%86%E5%9B%AD%20%E5%AE%9B%E5%8D%97%E5%9B%9B%E6%9D%9116%E5%8F%B7","64383244","1","4","天一二、天三、天四、宛南一二、宛三、宛四、宛五、宛六、庄家宅、黄家宅、华容、龙山一、龙山二、徐汇苑","固定对口","A","","上海本地宝《2026徐汇区幼儿园招生对口地段及招生计划班级数》，2026-04-15：https://m.sh.bendibao.com/edu/305291.html；上海本地宝《上海市徐汇区公办幼儿园名单一览》，内容来源标注为上海学前教育网，2024-03-25：https://m.sh.bendibao.com/edu/284155.html"
"9","公办","公办","一级","龙山幼儿园","枫林/宛南","二分园","中山南二路999弄5号","上海市徐汇区龙山幼儿园二分园","中山南二路999弄5号","121.447293,31.181380","高德直线约 3.00 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%BE%90%E6%B1%87%E5%8C%BA%20%E9%BE%99%E5%B1%B1%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%BA%8C%E5%88%86%E5%9B%AD%20%E4%B8%AD%E5%B1%B1%E5%8D%97%E4%BA%8C%E8%B7%AF999%E5%BC%845%E5%8F%B7","64869504","1","4","天一二、天三、天四、宛南一二、宛三、宛四、宛五、宛六、庄家宅、黄家宅、华容、龙山一、龙山二、徐汇苑","固定对口","A","","上海本地宝《2026徐汇区幼儿园招生对口地段及招生计划班级数》，2026-04-15：https://m.sh.bendibao.com/edu/305291.html；上海本地宝《上海市徐汇区公办幼儿园名单一览》，内容来源标注为上海学前教育网，2024-03-25：https://m.sh.bendibao.com/edu/284155.html"
"9","公办","公办","一级","龙山幼儿园","枫林/宛南","本部","天钥新村90号","龙山幼儿园(总园)","天钥新村90","121.447837,31.185665","高德直线约 3.43 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%BE%90%E6%B1%87%E5%8C%BA%20%E9%BE%99%E5%B1%B1%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E6%9C%AC%E9%83%A8%20%E5%A4%A9%E9%92%A5%E6%96%B0%E6%9D%9190%E5%8F%B7","64383295","1","4","天一二、天三、天四、宛南一二、宛三、宛四、宛五、宛六、庄家宅、黄家宅、华容、龙山一、龙山二、徐汇苑","固定对口","A","","上海本地宝《2026徐汇区幼儿园招生对口地段及招生计划班级数》，2026-04-15：https://m.sh.bendibao.com/edu/305291.html；上海本地宝《上海市徐汇区公办幼儿园名单一览》，内容来源标注为上海学前教育网，2024-03-25：https://m.sh.bendibao.com/edu/284155.html"
"10","公办","公办","一级","龙华幼儿园","龙华/西岸","丰谷园","丰谷路205弄34号","待高德MCP查询","待高德MCP查询","待高德MCP查询","待高德MCP查询","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%BE%90%E6%B1%87%E5%8C%BA%20%E9%BE%99%E5%8D%8E%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%B0%E8%B0%B7%E5%9B%AD%20%E4%B8%B0%E8%B0%B7%E8%B7%AF205%E5%BC%8434%E5%8F%B7","64280780","2","5","上缝、强生、东蔡、狮城、佳友、华富、宏润花园、漕溪四村单号、丰谷、云锦、机场、尚海湾、盛大、民苑、丰谷三、俞一、俞二、俞三、龙华新村、周家湾、汇龙、红馨、百汇园","固定对口","A","","上海本地宝《2026徐汇区幼儿园招生对口地段及招生计划班级数》，2026-04-15：https://m.sh.bendibao.com/edu/305291.html；上海本地宝《上海市徐汇区公办幼儿园名单一览》，内容来源标注为上海学前教育网，2024-03-25：https://m.sh.bendibao.com/edu/284155.html"
"10","公办","公办","一级","龙华幼儿园","龙华/西岸","龙恒园","龙华西路31弄15号","上海市徐汇区龙华幼儿园(龙恒园)","龙华西路31弄15号","121.452231,31.169864","高德直线约 1.63 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%BE%90%E6%B1%87%E5%8C%BA%20%E9%BE%99%E5%8D%8E%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E9%BE%99%E6%81%92%E5%9B%AD%20%E9%BE%99%E5%8D%8E%E8%A5%BF%E8%B7%AF31%E5%BC%8415%E5%8F%B7","64576761","2","5","上缝、强生、东蔡、狮城、佳友、华富、宏润花园、漕溪四村单号、丰谷、云锦、机场、尚海湾、盛大、民苑、丰谷三、俞一、俞二、俞三、龙华新村、周家湾、汇龙、红馨、百汇园","固定对口","A","","上海本地宝《2026徐汇区幼儿园招生对口地段及招生计划班级数》，2026-04-15：https://m.sh.bendibao.com/edu/305291.html；上海本地宝《上海市徐汇区公办幼儿园名单一览》，内容来源标注为上海学前教育网，2024-03-25：https://m.sh.bendibao.com/edu/284155.html"
"10","公办","公办","一级","龙华幼儿园","龙华/西岸","龙华园","龙华西路285弄14号","上海市徐汇区龙华幼儿园(龙华园)","龙华西路285弄14号","121.446108,31.172523","高德直线约 2.18 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%BE%90%E6%B1%87%E5%8C%BA%20%E9%BE%99%E5%8D%8E%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E9%BE%99%E5%8D%8E%E5%9B%AD%20%E9%BE%99%E5%8D%8E%E8%A5%BF%E8%B7%AF285%E5%BC%8414%E5%8F%B7","64571589","2","5","上缝、强生、东蔡、狮城、佳友、华富、宏润花园、漕溪四村单号、丰谷、云锦、机场、尚海湾、盛大、民苑、丰谷三、俞一、俞二、俞三、龙华新村、周家湾、汇龙、红馨、百汇园","固定对口","A","","上海本地宝《2026徐汇区幼儿园招生对口地段及招生计划班级数》，2026-04-15：https://m.sh.bendibao.com/edu/305291.html；上海本地宝《上海市徐汇区公办幼儿园名单一览》，内容来源标注为上海学前教育网，2024-03-25：https://m.sh.bendibao.com/edu/284155.html"
"11","公办","公办","一级","汇霖幼儿园","田林/虹桥","吴中园","吴中东路500弄67号","上海市徐汇区汇霖幼儿园(吴中园)","吴中东路500弄67号","121.422704,31.191453","高德直线约 5.21 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%BE%90%E6%B1%87%E5%8C%BA%20%E6%B1%87%E9%9C%96%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E5%90%B4%E4%B8%AD%E5%9B%AD%20%E5%90%B4%E4%B8%AD%E4%B8%9C%E8%B7%AF500%E5%BC%8467%E5%8F%B7","62196848","1","4","古宜、长春、吴中、桂林苑、虹南、虹星、怡桂苑、钦北、华悦家园、鑫耀","固定对口","A","","上海本地宝《2026徐汇区幼儿园招生对口地段及招生计划班级数》，2026-04-15：https://m.sh.bendibao.com/edu/305291.html；上海本地宝《上海市徐汇区公办幼儿园名单一览》，内容来源标注为上海学前教育网，2024-03-25：https://m.sh.bendibao.com/edu/284155.html"
"11","公办","公办","一级","汇霖幼儿园","田林/虹桥","钦州园","钦州北路898号","上海市徐汇区汇霖幼儿园(钦州园区)","钦州北路898号(桂林路地铁站12号口步行350米)","121.412308,31.180895","高德直线约 5.22 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%BE%90%E6%B1%87%E5%8C%BA%20%E6%B1%87%E9%9C%96%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E9%92%A6%E5%B7%9E%E5%9B%AD%20%E9%92%A6%E5%B7%9E%E5%8C%97%E8%B7%AF898%E5%8F%B7","64668657","1","4","古宜、长春、吴中、桂林苑、虹南、虹星、怡桂苑、钦北、华悦家园、鑫耀","固定对口","A","","上海本地宝《2026徐汇区幼儿园招生对口地段及招生计划班级数》，2026-04-15：https://m.sh.bendibao.com/edu/305291.html；上海本地宝《上海市徐汇区公办幼儿园名单一览》，内容来源标注为上海学前教育网，2024-03-25：https://m.sh.bendibao.com/edu/284155.html"
"12","公办","公办","二级","阳光幼儿园","龙华/滨江","中大班部","天钥桥南路1249弄11号","上海市徐汇区阳光幼儿园(中大班部)","天钥桥南路1249弄11号","121.457330,31.151725","高德直线约 0.54 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%BE%90%E6%B1%87%E5%8C%BA%20%E9%98%B3%E5%85%89%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%AD%E5%A4%A7%E7%8F%AD%E9%83%A8%20%E5%A4%A9%E9%92%A5%E6%A1%A5%E5%8D%97%E8%B7%AF1249%E5%BC%8411%E5%8F%B7","54095768","1","3","龙南三四、龙南五、龙南六、龙南七、滨江、樟树苑、东泉、张家园","固定对口","A","","上海本地宝《2026徐汇区幼儿园招生对口地段及招生计划班级数》，2026-04-15：https://m.sh.bendibao.com/edu/305291.html；上海本地宝《上海市徐汇区公办幼儿园名单一览》，内容来源标注为上海学前教育网，2024-03-25：https://m.sh.bendibao.com/edu/284155.html"
